artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202449263	Disentangling the origin of chemical differences using GHOST	ASTRONOMY & ASTROPHYSICS	SAFFE, C. ; MIQUELARENA, P. ; ALACORIA, J. ; MARTIOLI, E. ; FLORES, M. ; JAQUE ARANCIBIA, M. ; ANGELONI, R. ; JOFRÉ, E. ; YANA GALARZA, J. ; GONZÁLEZ, E. ; COLLADO, A.	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1093/mnras/stad3866	The EBLM Project- XI	Mass, radius, and effective temperature measurements for 23 M-dwarf companions to solar-type stars observed with. MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	SWAYNE, M I ; MAXTED, P F L ; TRIAUD, A H M J ; SOUSA, S G ; DELINE, A ; EHRENREICH, D ; HOYER, S ; OLOFSSON, G ; BOISSE, I ; DUCK, A ; GILL, S ; MARTIN, D ; MCCORMAC, J ; PERSSON, C M ; SANTERNE, A ; SEBASTIAN, D ; STANDING, M R ; ACUÑA, L ; ALIBERT, Y ; MARTIOLI, E.	Qualis nao identificado	MASS, RADIUS, AND EFFECTIVE TEMPERATURE MEASUREMENTS FOR 23 M-DWARF COMPANIONS TO SOLAR-TYPE STARS OBSERVED WITH. MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202348288	TOI-1199 b and TOI-1273 b: Two new transiting hot Saturns detected and characterized with SOPHIE and TESS	ASTRONOMY & ASTROPHYSICS	SERRANO BELL, J. ; DÍAZ, R. F. ; Hébrard, G. ; MARTIOLI, E. ; HEIDARI, N. ; SOUSA, S. ; Boisse, I. ; ALMENARA, J. M. ; ALONSO-SANTIAGO, J. ; BARROS, S. C. C. ; BENNI, P. ; BIERYLA, A. ; Bonfils, X. ; CALDWELL, D. A. ; CIARDI, D. R. ; COLLINS, K. A. ; CORTÉS-ZULETA, P. ; DALAL, S. ; DE LEÓN, J. P. ; DELEUIL, M.	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202346999	TOI-4860 b, a short-period giant planet transiting an M3.5 dwarf	ASTRONOMY & ASTROPHYSICS	ALMENARA, J. M. ; Bonfils, X. ; BRYANT, E. M. ; JORDÁN, A. ; Hébrard, G. ; MARTIOLI, E. ; CORREIA, A. C. M. ; ASTUDILLO-DEFRU, N. ; CADIEUX, C. ; ARNOLD, L. ; ARTIGAU, É. ; BAKOS, G. Á. ; BARROS, S.C.C. ; BAYLISS, D. ; Bouchy, F. ; BOUÉ, G. ; BRAHM, R. ; Carmona, A. ; CHARBONNEAU, D. ; CIARDI, D. R.	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.3847/1538-3881/ad1d5c	Planet Hunters TESS	V. A Planetary System Around a Binary Star, Including a Mini-Neptune in the Habitable Zone. ASTRONOMICAL JOURNAL	EISNER, NORA L. ; GRUNBLATT, SAMUEL K. ; BARRAGÁN, OSCAR ; FARIDANI, THEA H. ; LINTOTT, CHRIS ; AIGRAIN, SUZANNE ; JOHNSTON, COLE ; MASON, IAN R. ; STASSUN, KEIVAN G. ; BEDELL, MEGAN ; BOYLE, ANDREW W. ; CIARDI, DAVID R. ; CLARK, CATHERINE A. ; HEBRARD, GUILLAUME ; HOGG, DAVID W. ; HOWELL, STEVE B. ; KLEIN, BAPTISTE ; LLAMA, JOE ; WINN, JOSHUA N. ; MARTIOLI, E.	Qualis nao identificado	V. A PLANETARY SYSTEM AROUND A BINARY STAR, INCLUDING A MINI-NEPTUNE IN THE HABITABLE ZONE. ASTRONOMICAL JOURNAL
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.3847/1538-4357/ad3063	Comprehensive High-resolution Chemical Spectroscopy of Barnard?s Star with SPIRou	The Astrophysical Journal	JAHANDAR, FARBOD ; DOYON, RENÉ ; ARTIGAU, ÉTIENNE ; COOK, NEIL J. ; CADIEUX, CHARLES ; LAFRENIÈRE, DAVID ; FORVEILLE, THIERRY ; DONATI, JEAN-FRANÇOIS ; FOUQUÉ, PASCAL ; CARMONA, ANDRÉS ; CLOUTIER, RYAN ; CRISTOFARI, PAUL ; GAIDOS, ERIC ; GOMES DA SILVA, JOÃO ; MALO, LISON ; Martioli, Eder ; DO NASCIMENTO, J.-D. ; PELLETIER, STEFAN ; VANDAL, THOMAS ; VENN, KIM	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202348043	Long-term monitoring of large-scale magnetic fields across optical and near-infrared domains with ESPaDOnS, Narval, and SPIRou	ASTRONOMY & ASTROPHYSICS	BELLOTTI, S. ; Morin, J. ; LEHMANN, L. T. ; PETIT, P. ; HUSSAIN, G. A. J. ; Donati, J.-F. ; FOLSOM, C. P. ; Carmona, A. ; MARTIOLI, E. ; KLEIN, B. ; Fouqué, P. ; MOUTOU, C. ; Alencar, S. ; ARTIGAU, E. ; Boisse, I. ; Bouchy, F. ; Bouvier, J. ; COOK, N. J. ; DELFOSSE, X. ; Doyon, R.	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202348258	Long-period modulation of the classical T Tauri star CI Tau	ASTRONOMY & ASTROPHYSICS	MANICK, R. ; SOUSA, A. P. ; Bouvier, J. ; ALMENARA, J. M. ; REBULL, L. ; BAYO, A. ; Carmona, A. ; MARTIOLI, E. ; VENUTI, L. ; PANTOLMOS, G. ; KÓSPÁL, Á. ; ZANNI, C. ; Bonfils, X. ; MOUTOU, C. ; DELFOSSE, X.	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1093/mnras/stae1405	BEBOP V	Homogeneous stellar analysis of potential circumbinary planet hosts. MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	FRECKELTON, ALIX V ; SEBASTIAN, DANIEL ; MORTIER, ANNELIES ; TRIAUD, AMAURY H M J ; MAXTED, PIERRE F L ; ACUÑA, LORENA ; ARMSTRONG, DAVID J ; BATTLEY, MATTHEW P ; BAYCROFT, THOMAS A ; BOISSE, ISABELLE ; BOURRIER, VINCENT ; CARMONA, ANDRES ; COLEMAN, GAVIN A L ; CAMERON, ANDREW COLLIER ; CORTÉS-ZULETA, PÍA ; DELFOSSE, XAVIER ; DRANSFIELD, GEORGINA ; DUCK, ALISON ; FORVEILLE, THIERRY ; MARTIOLI, E.	Qualis nao identificado	HOMOGENEOUS STELLAR ANALYSIS OF POTENTIAL CIRCUMBINARY PLANET HOSTS. MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.3847/2041-8213/ad65fd	TOI-1408: Discovery and Photodynamical Modeling of a Small Inner Companion to a Hot Jupiter Revealed by Transit Timing Variations	Astrophysical Journal Letters	KORTH, JUDITH ; CHATURVEDI, PRIYANKA ; PARVIAINEN, HANNU ; CARLEO, ILARIA ; ENDL, MICHAEL ; GUENTHER, EIKE W. ; NOWAK, GRZEGORZ ; PERSSON, CARINA M. ; MACQUEEN, PHILLIP J. ; MUSTILL, ALEXANDER J. ; CABRERA, JUAN ; COCHRAN, WILLIAM D. ; LILLO-BOX, JORGE ; HOBBS, DAVID ; MURGAS, FELIPE ; GREKLEK-MCKEON, MICHAEL ; KELLERMANN, HANNA ; HÉBRARD, GUILLAUME ; FUKUI, AKIHIKO ; MARTIOLI, E.	A1	
