artigoEmPeriodico	 	2024	0550-3213	http://dx.doi.org/10.1016/j.nuclphysb.2024.116469	The Schwinger and chiral Schwinger models in a non-perturbative spectral regularization	NUCLEAR PHYSICS B	ELEOTÉRIO, L.F. ; ALMEIDA, G.O. ; DIAS, E.W. ; CALDAS, H. ; MOTA, A.L.	A3	
artigoEmPeriodico	 	2024	0308-8146	http://dx.doi.org/10.1016/j.foodchem.2023.137081	Cellular assays combined with metabolomics highlight the dual face of phenolics: From high permeability to morphological cell damage	FOOD CHEMISTRY	G. Rocchetti ; L. Lucini ; GONCALVES, J. E. ; Camps, I. ; LIMA, A. S. ; GRANATO, D. ; PINHEIRO, L. C. ; L. Azevedo	A1	
artigoEmPeriodico	 	2024	2469-9985	http://dx.doi.org/10.1103/physrevc.109.014904	Smallest drop of QGP: Thermodynamic properties of <math> <mrow> <mi>p</mi> <mtext>-Pb</mtext> </mrow> </math> collisions	PHYSICAL REVIEW C	Gardim, Fernando G.; KRUPCZAK, RENATA ; DA SILVA, TIAGO NUNES	A1	
artigoEmPeriodico	 	2024	0003-4916	http://dx.doi.org/10.1016/j.aop.2024.169606	Majorana fermions in a two-band two-dimensional Fermi system	ANNALS OF PHYSICS	H	A2	
artigoEmPeriodico	 	2024	1742-5468	http://dx.doi.org/10.1088/1742-5468/ad1d54	Radial evolution in a reaction-diffusion model	JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	SILVEIRA, SOFIA M ; Alves, Sidiney G	A2	
artigoEmPeriodico	 	2023	2470-0010	http://dx.doi.org/10.1103/physrevd.107.112012	Impact of cross-section uncertainties on supernova neutrino spectral parameter fitting in the Deep Underground Neutrino Experiment	PHYSICAL REVIEW D	ABED ABUD, A. ; ABI, B. ; ACCIARRI, R. ; ACERO, M.'A. ; ADAMES, M.'R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALLISON, K. ; ALONSO MONSALVE, S. ; ALRASHED, M. ; BEZERRA, Anibal Thiago	A1	
artigoEmPeriodico	 	2023	1748-0221	http://dx.doi.org/10.1088/1748-0221/18/04/p04034	Highly-parallelized simulation of a pixelated LArTPC on a GPU	Journal of Instrumentation	ABED ABUD, A. ; ABI, B. ; ACCIARRI, R. ; ACERO, M.A. ; ADAMES, M.R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALLISON, K. ; ALONSO MONSALVE, S. ; ALRASHED, M. ; BEZERRA, Anibal Thiago	A3	
artigoEmPeriodico	 	2023	1434-6052	http://dx.doi.org/10.1140/epjc/s10052-023-11733-2	Reconstruction of interactions in the ProtoDUNE-SP detector with Pandora	EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS	ABUD, A. ABED ; ABI, B. ; ACCIARRI, R. ; ACERO, M. A. ; ADAMES, M. R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALI-MOHAMMADZADEH, B. ; ALLISON, K. ; MONSALVE, S. ALONSO ; BEZERRA, Anibal Thiago	A2	
artigoEmPeriodico	 	2023	2470-0010	http://dx.doi.org/10.1103/physrevd.107.092012	Identification and reconstruction of low-energy electrons in the ProtoDUNE-SP detector	PHYSICAL REVIEW D	ABUD, A. ABED ; ABI, B. ; ACCIARRI, R. ; ACERO, M.'A. ; ADAMES, M.'R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALLISON, K. ; MONSALVE, S. ALONSO ; ALRASHED, M. ; BEZERRA, Anibal Thiago	A1	
artigoEmPeriodico	 	2023	1471-2180	http://dx.doi.org/10.1186/s12866-023-02756-6	Genomic landscape of the emerging XDR Salmonella Typhi for mining druggable targets clpP, hisH, folP and gpmI and screening of novel TCM inhibitors, molecular docking and simulation analyses	BMC MICROBIOLOGY	AFZAL, MUNEEBA ; HASSAN, SYED SHAH ; SOHAIL, SAMAN ; Camps, Ihosvany ; KHAN, YASMIN ; BASHARAT, ZARRIN ; KARIM, ASAD ; AURONGZEB, MUHAMMAD ; IRFAN, MUHAMMAD ; SALMAN, MUHAMMAD ; MOREL, CARLOS M.	Qualis nao identificado	BMC MICROBIOLOGY
artigoEmPeriodico	 	2023	0169-4332	http://dx.doi.org/10.1016/j.apsusc.2022.155358	Functionalized boron-nitride nanotubes: First-principles calculations	APPLIED SURFACE SCIENCE	AGUIAR, C. ; CAMPS, M. ; DATTANI, N. ; Camps, I.	A1	
artigoEmPeriodico	 	2023	0921-4526	http://dx.doi.org/10.1016/j.physb.2023.415178	Möbius boron-nitride nanobelts interacting with heavy metal nanoclusters	PHYSICA B-CONDENSED MATTER	AGUIAR, C. ; DATTANI, N. ; Camps, I.	A4	
artigoEmPeriodico	 	2023	1610-2940	http://dx.doi.org/10.1007/s00894-023-05669-3	Möbius carbon nanobelts interacting with heavy metal nanoclusters	JOURNAL OF MOLECULAR MODELING	AGUIAR, C. ; DATTANI, N. ; Camps, I.	A4	
artigoEmPeriodico	 	2023	1519-6984	http://dx.doi.org/10.1590/1519-6984.03316	A new approach to mark termites (Cornitermes cumulans (Kollar) Blattodea: Isoptera) for laboratory bioassays	BRAZILIAN JOURNAL OF BIOLOGY	Alessandra Marins ; Paulo Fellipe Cristaldo ; Leticia R Paiva ; Octavio Miramontes ; Og DeSouza	A2	BRAZILIAN JOURNAL OF MICROBIOLOGY
artigoEmPeriodico	 	2023	1528-7505	http://dx.doi.org/10.1021/acs.cgd.3c00766	Secondary Nucleation and Unstable Roughening in Fe Layers Electrodeposited on Si	Crystal Growth & Design	BENETTI, LUANA CARINA ; Alves, Sidiney G. ; ZOLDAN, VINÍCIUS CLAUDIO ; DE ALMEIDA ISOPPO, EDUARDO ; CID, CRISTIANI CAMPOS PLÁ ; LIN, QIYUAN ; AARÃO REIS, FÁBIO D. A. ; ZANGARI, GIOVANNI ; PASA, ANDRÉ AVELINO	A1	
artigoEmPeriodico	 	2023	1751-8113	http://dx.doi.org/10.1088/1751-8121/acd48a	Light propagation in ( 2+1 )-dimensional electrodynamics: the case of nonlinear constitutive laws	Journal of Physics A-Mathematical and Theoretical	BITTENCOURT, EDUARDO ; BRANDÃO, ELLITON O S ; GOULART, ÉRICO	A2	
artigoEmPeriodico	 	2023	0953-8984	http://dx.doi.org/10.1088/1361-648X/ad0275	Non-homogeneous pairing in disordered two-orbital s-wave superconductors	JOURNAL OF PHYSICS-CONDENSED MATTER	Caldas, Heron; RUFO, S. ; GRI'TH, M. A. R.	A3	
artigoEmPeriodico	 	2023	0035-8711	http://dx.doi.org/10.1093/mnras/stad2954	Shadows of black holes at cosmological distances in the co-varying physical couplings framework	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	CUZINATTO, R R ; DEMELO, C A M ; NEVES, JULIANO C S	A1	
artigoEmPeriodico	 	2023	2073-8994	http://dx.doi.org/10.3390/sym15030709	Dynamical Analysis of the Covarying Coupling Constants in Scalar-Tensor Gravity	Symmetry-Basel	CUZINATTO, RODRIGO R.; GUPTA, RAJENDRA P. ; POMPEIA, PEDRO J.	A4	
artigoEmPeriodico	 	2023	1402-4896	http://dx.doi.org/10.1088/1402-4896/ace561	A massive gauge theory à la</i> Utiyama	Physica Scripta	CUZINATTO, RODRIGO ROCHA; PIMENTEL, BRUTO MAX ; POMPEIA, PEDRO JOSÉ ; SUMIRE ESQUIA, JUAN CARLOS	A4	
