artigoEmPeriodico	 	2024		http://dx.doi.org/10.1007/s13538-024-01429-7	Holographic Phase Transitions in $$(2+1)$$-Dimensional Black Hole Spacetimes in NMG	BRAZILIAN JOURNAL OF PHYSICS	ABDALLA, ELCIO ; de Oliveira, Jeferson ; PAVAN, ALAN BENDASOLI ; PELLICER, CARLOS EDUARDO	A3	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.46298/ocnmp.13294	SKdV, SmKdV flows and their supersymmetric gauge-Miura transformations	Open Communications in Nonlinear Mathematical Physics	ADANS, Y. F. ; AGUIRRE, A. R. ; GOMES, J. F. ; LOBO, G. V. ; ZIMERMAN, A. H.	Qualis nao identificado	OPEN COMMUNICATIONS IN NONLINEAR MATHEMATICAL PHYSICS
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1140/epjc/s10052-024-12671-3	The role of scalar current coupling along surfaces. EUROPEAN PHYSICAL JOURNAL C	PARTICLES AND FIELDS	Barone, F. A.; BORGES, L. H. C. ; FLORES-HIDALGO, G. ; OLIVEIRA, H. L. ; DA SILVA, W. Y. A.	Qualis nao identificado	PARTICLES AND FIELDS
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.aop.2024.169749	Planar anisotropic CPT-odd systems: A field theoretical approach	ANNALS OF PHYSICS	BORGES, L.H.C. ; FERRARI, A.F. ; DA SILVA, P.H.O. ; Barone, F.A.	A2	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.33448/rsd-v13i1.44786	Jogos educacionais: Impacto transdisciplinar na aprendizagem e divulgação científica	RESEARCH, SOCIETY AND DEVELOPMENT	CARVALHO, CELSO HENRIQUE CORREA ; OLIVEIRA, ADHIMAR FLÁVIO	C	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1063/5.0205441	Detection of Dirac fermions in capped SnTe film via magnetotransport measurements	Journal Of Applied Physics	CASTRO, S.; Abramof, E. ; RAPPL, P. H. O. ; PERES, Marcelos Lima	A1	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1093/mnras/stae1626	Chemical evolution models: the role of type Ia supernovae in the α-elements over Iron relative abundances and their variations in time and space	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	Cavichia, Oscar; Mollá, M. ; BAZÁN, J J ; CASTRILLO, A. ; GALBANY, L. ; MILLAN-IRIGOYEN, I. ; ASCASIBAR, Y ; DÍAZ, A. ; Monteiro, H.	A1	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.aop.2024.169740	Gauge formulation for magnetic monopoles from generalized gauge fields	ANNALS OF PHYSICS	DE OLIVEIRA, G.A. ; BARONE, F.E. ; Barone, F.A. ; HELAYËL-NETO, J.A.	A2	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1103/PhysRevD.109.024027	Aspects of regular and singular electromagnetic-generalized-quasitopological-gravities black holes in dimensions	PHYSICAL REVIEW D	de Oliveira, Jeferson ; FONTANA, R.'D.'B. ; PAVAN, A.'B.	A1	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.jlumin.2024.120499	Suppression of persistent effect and enhancement of photoconductivity in PbTe:CaF2 epitaxial films	JOURNAL OF LUMINESCENCE	DO PRADO, W.P. ; OKAZAKI, A.K. ; VARGAS, L.M.B. ; DA SILVA, M.J. ; CASTRO, S. ; RAPPL, P.H.O. ; ABRAMOF, E. ; PERES, Marcelos Lima	A2	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1088/1361-6382/ad3609	Breaking the cosmological principle into pieces: a prelude to the intrinsically homogeneous and isotropic spacetimes	Classical and Quantum Gravity	GOMES, L G	A1	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.matchemphys.2024.129185	The effect of porous silicon thickness and pore size on the electrical properties of TiO2/PS heterojunctions	MATERIALS CHEMISTRY AND PHYSICS	HUANCA, DANILO R.; LEITE, LUCAS COSTA	A2	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.mseb.2023.117122	Efficiency analysis of thermoelectric generators	Materials Science and Engineering B-Advanced Functional Solid-State Materials	IDER, J. ; ASSAHI, F.Y. ; OLIVEIRA, A.F. ; Rubinger, R.M. ; RUBINGER, C.P.L.	Qualis nao identificado	MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1103/PhysRevD.109.124019	Normal modes and standing waves of scalar field in nonlinear electromagnetic regular anti-de Sitter spacetimes	PHYSICAL REVIEW D	LIN, KAI ; PAVAN, ALAN B. ; ABDALLA, ELCIO	A1	
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1088/1742-5468/ad4e2b	Blackbody heat capacity at constant pressure	JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	MOREIRA JR, E S	A2	JOURNAL OF STATISTICAL MECHANICS. THEORY AND EXPERIMENT
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.jece.2024.113267	Core-Sheath Organic-Inorganic Hybrid Electrospun Fibers for Organophosphorus Heterogeneous Catalysis	JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING	NETTO, JORGE FERNANDES Z. ; MIGUEZ, FLÁVIO B. ; BAHIA, SAMARA B.B.B. ; BOLAIS-RAMOS, LUCAS G. ; VERANO-BRAGA, THIAGO ; TRIGUEIRO, JOÃO P.C. ; Nobuyasu, Roberto S. ; BRANDÃO, TIAGO A.S. ; DE SOUSA, FREDERICO B.	A2	
