artigoEmPeriodico	Adhimar Flavio Oliveira	2023	0254-0584	http://dx.doi.org/10.1016/j.matchemphys.2023.128070	Thickness and porosity characterization in porous silicon photonic crystals: The etch-stop effect	MATERIALS CHEMISTRY AND PHYSICS	VILLANUEVA, JACKELYNE L.M. ; HUANCA, DANILO R. ; OLIVEIRA, ADHIMAR F.	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2023	2175-4020	http://dx.doi.org/10.29327/227610	O lifter como experimento didático sobre propriedades elétricas	Revista Científic@ Universitas	GAMA, A. B. P. ; OLIVEIRA, A.F. ; Agenor Pina	A3	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	0025-5408	http://dx.doi.org/10.1016/j.materresbull.2022.111762	Fabrication and Characterization of heterojunction made of porous silicon and polyaniline synthesized by chemical and electrochemical routes	MATERIALS RESEARCH BULLETIN	HUANCA, DANILO ROQUE ; OLIVEIRA, ADHIMAR FLÁVIO ; RUBINGER, RERO M.	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i5.27948	Conscientização sobre a importância da inclusão do aluno com o uso de linguagem de sinais	RESEARCH, SOCIETY AND DEVELOPMENT	WULF, IVONE PEREIRA ; OLIVEIRA, ADHIMAR FLÁVIO	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	0921-5107	http://dx.doi.org/10.1016/j.mseb.2022.115702	Preparation and characterization of palladium-doped titanium dioxide for solar cell applications	Materials Science and Engineering B-Advanced Functional Solid-State Materials	OLIVEIRA, A.F.; SILVA, S.A.M. ; RUBINGER, C.P. ; IDER, J. ; RUBINGER, R.M. ; OLIVEIRA, E.T.M. ; DORIGUETTO, A.C. ; CARVALHO, H.B. DE	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i6.28383	Uma análise das investigações históricas sobre a luz e o entendimento das cores	RESEARCH, SOCIETY AND DEVELOPMENT	DIAS, RANULFO DA SILVA ; OLIVEIRA, ADHIMAR FLÁVIO	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i6.29087	Impactos na aprendizagem e percepções dos alunos sobre as aulas experimentais no contexto do ensino remoto	RESEARCH, SOCIETY AND DEVELOPMENT	MORAES, P. F. ; Oliveira, A. F.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i7.29826	Uso da Espectroscopia de Impedância Eletroquímica (EIE) para monitoramento da corrosão em concreto com resíduo de pneu e Metacaulim e investigação da sua microestrutura	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, VANDER ALKMIN DOS SANTOS ; OLIVEIRA, ADHIMAR FLÁVIO ; SANTOS, VALQUÍRIA CLARET DOS ; SILVA, LUCAS RAMON ROQUE DA ; TORRES, RAFAEL GONÇALVES ; SOUZA, MICHEL HENRY BACELAR DE	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	1996-1073	http://dx.doi.org/10.3390/en15134774	Concentrated Solar Power with Thermoelectric Generator-An Approach Using the Cross-Entropy Optimization Method	Energies	IDER, JOÃO ; OLIVEIRA, ADHIMAR ; RUBINGER, RERO ; SILVA, ANA KAROLINE ; ASSINI, ALUÍZIO ; TIAGO-FILHO, GERALDO ; BALDISSERA, MARCIA	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i10.32568	Estudo da corrosão e da microestrutura no compósito cimentício autoadensável com substituição do agregado miúdo por resíduo de vidro	RESEARCH, SOCIETY AND DEVELOPMENT	TORRES, RAFAEL GONÇALVES ; MELO, MIRIAN DE LOURDES NORONHA MOTTA ; RIBEIRO, VANDER ALKMIN DOS SANTOS ; SANTOS, VALQUÍRIA CLARET DOS ; OLIVEIRA, ADHIMAR FLÁVIO	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i13.35642	Investigation of the physical and mechanical properties of self-adhesive composite with replacement of the kid aggregate by glass powder	RESEARCH, SOCIETY AND DEVELOPMENT	TORRES, R. G. ; MELO, M. L. N. M. ; SANTOS, V. C. ; RIBEIRO, V. A. S. ; OLIVEIRA, A.F. ; ALVES, A. P. M.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	1519-8634	http://dx.doi.org/10.14295/holos.v22i2.12481	Investigação das propriedades do concreto convencional com adição da fibra de bambu e da substituição parcial do cimento pelo Metacaulim	Holos Environment (Online)	RIBEIRO, VANDER ALKMIN DOS SANTOS ; BARBOSA, LUCIANO FLORIANO ; OLIVEIRA, ADHIMAR FLÁVIO ; PAIVA, BRUNO NANNETTI DIAS ; DOS SANTOS, VALQUÍRIA CLARET ; SILVA, JOÃO LUCAS PEREIRA DA SILVA DA	B4	
artigoEmPeriodico	Adhimar Flavio Oliveira	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v12i1.39401	Aplicação de um experimento como recurso pedagógico para introduzir o ensino de astronomia na primeira série do ciclo básico de ensino	RESEARCH, SOCIETY AND DEVELOPMENT	MEDEIROS, MARIA FERNANDA XAVIER PINTO ; OLIVEIRA, ADHIMAR FLÁVIO	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i5.14463	Investigação das propriedades do concreto convencional com adição de resíduos de pneu e metacaulim	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, VANDER ALKMIN DOS SANTOS ; WERDINE, DEMARCUS ; BARBOSA, LUCIANO FLORIANO ; OLIVEIRA, ADHIMAR FLÁVIO ; SANTANA, LUCAS PASSOS	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i6.15229	Instrumentation for electronic mobility and carrier concentration measurements in semiconductor samples, using the van der Pauw method	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, L. H. ; OLIVEIRA, A.F. ; RUBINGER, R. M.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i8.17286	Physical and mechanical properties of permeable concrete with aggregates of porcelain electrical insulator residues	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, V. A. S. ; WERDINE, D. ; BARBOSA, L. F. ; OLIVEIRA, A.F. ; SOUZA, R. V. ; SILVA, L. R. R.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i8.17314	Synthesis, characterization magnetic and electrical of aluminate copper ferrite	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, V. A. S. ; OLIVEIR A, V. D. ; RUBINGER, R. M. ; OLIVEIRA, A.F. ; MENDONÇA, C. S. P.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i8.17786	Espectrômetro digital. Uma proposta de construção de um experimento de Física Moderna para o ensino remoto	RESEARCH, SOCIETY AND DEVELOPMENT	JESUS, JAYKEL JOANA DE ; OLIVEIRA, ADHIMAR FLÁVIO DE ; SILVA, AGENOR PINA DA	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	0921-4526	http://dx.doi.org/10.1016/j.physb.2021.413293	Investigation of electronic transport in InAs/GaAs samples. A study using the metaheuristic self-adaptive differential evolution method	PHYSICA B-CONDENSED MATTER	RIBEIRO, LUIZ HENRIQUE ; IDER, JOÃO ; OLIVEIRA, ADHIMAR FLÁVIO ; RUBINGER, RERO MARQUES ; RUBINGER, CARLA PATRÍCIA LACERDA ; DE OLIVEIRA, ALFREDO GONTIJO	A4	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i10.19028	Determination of thickness and refractive index of SiO2 thin films using the cross-entropy global	RESEARCH, SOCIETY AND DEVELOPMENT	S J Zaccaro ; OLIVEIRA, A.F. ; Rubinger, R.M. ; SIQUEIRA, C. C. ; COSTA JUNIOR, R. A.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i11.19189	Investigação das propriedades do concreto convencional com adição de resíduos de casca de ovo	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, VANDER ALKMIN DOS SANTOS ; WERDINE, DEMARCUS ; BARBOSA, LUCIANO BARBOSA ; OLIVEIRA, ADHIMAR FLÁVIO ; RODRIGUES, LEMUEL BASTOS ; SILVA, LUCAS RAMON ROQUE	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2176-1523	http://dx.doi.org/10.4322/2176-1523.20212058	Comportamento elétrico e magnético da cerâmica Ni-Zn	TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO	OLIVEIRA, VALESCA DONIZETI DE ; MENDONÇA, CLAUDINEY DE SALES PEREIRA ; SILVA, MANUEL RIBEIRO DA ; RUBINGER, RERO MARQUES ; OLIVEIRA, ADHIMAR FLÁVIO ; RIBEIRO, VANDER ALKMIN DOS SANTOS	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i12.20504	Tijolo solo cimento com acréscimo de resíduos de borracha de pneu	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, VANDER ALKMIN DOS SANTOS ; WERDINE, DEMARCUS ; BARBOSA, LUCIANO FLORIANO ; PINHEIRO, MÁRIO VITOR ; OLIVEIRA, ADHIMAR FLÁVIO ; ALVES, ANDRÉ LUIZ QUEIROZ ; SILVA, LUCAS RAMON ROQUE	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	0143-0807	http://dx.doi.org/10.1088/1361-6404/ac2937	Characterization of a solar concentration thermoelectric generator	EUROPEAN JOURNAL OF PHYSICS	FERNANDES, ALUISIO ASSINI ; RUBINGER, RERO MARQUES ; IDER, JOAO ; OLIVEIRA, ADHIMAR FLÁVIO ; TIAGO-FILHO, GERALDO LUCIO ; BALDISSERA, MARCIA REGINA	A3	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	0018-9456	http://dx.doi.org/10.1109/tim.2021.3115213	A robust system for thermoelectric device characterization	IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT	IDER, JOAO ; OLIVEIRA, ADHIMAR ; RUBINGER, RERO	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i13.21092	Investigation of the physical and mechanical properties of conventional concrete with partial replacement of sand by bamboo fibers	RESEARCH, SOCIETY AND DEVELOPMENT	RIBEIRO, V. A. S. ; WERDINE, D. ; BARBOSA, L. F. ; OLIVEIRA, A.F. ; BARBOSA, A. M. ; SILVA, L. R. R. ; RIBEIRO, L. H.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i14.21980	Diagnóstico de dificuldades de ensino-aprendizagem de Física no Ensino Fundamental e Médio e implicações das competências e habilidades das novas diretrizes	RESEARCH, SOCIETY AND DEVELOPMENT	ROCHA, DENISE FERREIRA DA SILVA SOARES ; SIQUEIRA, CREDIANA ; BRAGA, CLAUDILENE RIBEIRO ; OLIVEIRA, ADHIMAR FLÁVIO	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2020	0038-092X	http://dx.doi.org/10.1016/j.solener.2020.02.093	The effects of noises on metaheuristic algorithms applied to the PV parameter extraction problem	SOLAR ENERGY	FÉBBA, D.M. ; BORTONI, E.C. ; OLIVEIRA, A.F. ; RUBINGER, R.M.	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2020	0169-4332	http://dx.doi.org/10.1016/j.apsusc.2020.146994	Electrical and optical characterizations of erbium doped MPS/PANI heterojunctions	APPLIED SURFACE SCIENCE	TOLEDO, R.P. ; HUANCA, D.R. ; OLIVEIRA, A.F. ; DOS SANTOS FILHO, S.G. ; SALCEDO, W.J.	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2020	2525-3409	http://dx.doi.org/10.33448/rsd%20-%20v9i8.%206004	Comics Book: a n alternative to a scientific dissemination and for Astronomy Education	RESEARCH, SOCIETY AND DEVELOPMENT	DIAS, R. S. ; OLIVEIRA, A.F.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2019	2175-4020		Propriedades físicas e mecânicas do concreto convencional com isolador de Porcelana	Revista Científic@ Universitas	RIBEIRO, V. A. S. ; PINTO, C. ; BARBOSA, L. ; OLIVEIRA, A.F. ; MENDONÇA, C. S. P.	A3	
artigoEmPeriodico	Adhimar Flavio Oliveira	2019	2075-4701	http://dx.doi.org/10.3390/met9080842	Recycling Chips of Stainless Steel Using a Full Factorial Design	Metals	MENDONÇA, CLAUDINEY ; CAPELLATO, PATRICIA ; BAYRAKTAR, EMIN ; GATAMORTA, FÁBIO ; GOMES, JOSÉ ; OLIVEIRA, ADHIMAR ; SACHS, DANIELA ; MELO, MIRIAN ; SILVA, GILBERT	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2019	2176-1523	http://dx.doi.org/10.4322/2176-1523.2019168	CARACTERIZAÇÃO ELÉTRICA E ESTRUTURAL DA CERÂMICA DE CHUMBO E COBRE	TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO	RIBEIRO, VANDER ALKMIN DOS SANTOS ; Oliveira, A. F. ; RUBINGER, Rero Marques ; MENDONCA, C. S. P. ; OLIVEIR A, V. D. ; SILVA, Manoel Ribeiro da	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2018	2447-9535		Investigação das Propriedades Magnéticas e Elétricas da Ferrita Manganês-Cobre	Porandu	CORREA, R. C. ; OLIVEIRA, A.F. ; OLIVEIR A, V. D. ; RUBINGER, R. M. ; MENDONCA, C. S. P. ; SILVA, M. R.	C	
artigoEmPeriodico	Adhimar Flavio Oliveira	2018	0268-3768	http://dx.doi.org/10.1007/s00170-017-1297-7	Evaluation of high-energy milling efficiency in stainless steel with addition of vanadium carbides	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY	MENDONÇA, C. S. P. ; DIAS, A. N. O. ; MELO, M. L. N. M. ; RIBEIRO, V. A. S. ; DA SILVA, M. R. ; Oliveira, A. F. ; SILVA, G.	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2018	2176-1523	http://dx.doi.org/10.4322/2176-1523.1320	MICROESTRUTURA, PROPRIEDADES MAGNÉTICAS E DIELETRICAS DA FERRITA DE COBRE E NIÓBIO	TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO	RIBEIRO, VANDER ALKMIN DOS SANTOS ; MENDONÇA, CLAUDINEY DE SALES PEREIRA ; OLIVEIRA, VALESCA DONIZETI DE ; SILVA, MANOEL RIBEIRO DA ; OLIVEIRA, ADHIMAR FLÁVIO ; RUBINGER, RERO MARQUES ; SILVA, SANDRA APARECIDA MARTINS	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2018	2075-4701	http://dx.doi.org/10.3390/met8070546	A New Method to Recycle Stainless-Steel Duplex UNS S31803 Chips	Metals	CLAUDNEY, MENDONÇA ; ADHIMAR, OLIVEIRA ; DANIELA, SACHS ; PATRICIA, CAPELLATO ; VANDER, RIBEIRO ; MATEUS, JUNQUEIRA ; MIRIAN, MELO ; GILBERT, SILVA	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2018	0268-3768	http://dx.doi.org/10.1007/s00170-018-2366-2	Comparison of the effect of carbide addition on particle size reduction on UNS S31803 steel chip millings	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY	MENDONÇA, C. S. P. ; DE OLIVEIRA, V. D. ; Oliveira, A. F. ; SILVEIRA, L. R. ; ANDRADE, B. G. ; SILVA, G.	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2018	0038-092X	http://dx.doi.org/10.1016/j.solener.2018.09.051	Impacts of temperature and irradiance on polycrystalline silicon solar cells parameters	SOLAR ENERGY	FÉBBA, D.M. ; RUBINGER, R.M. ; OLIVEIRA, A.F. ; BORTONI, E.C.	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2017	0870-8312	http://dx.doi.org/10.1016/j.ctmat.2016.03.006	Magnetic and microstructural characterization of cold rolled UNS S31803duplex stainless steel	CIÊNCIA E TECNOLOGIA DOS MATERIAIS	MENDONÇA, C.S.P. ; DE OLIVEIRA, V.D. ; RIBEIRO, V.A.S. ; OLIVEIRA, A.F. ; DA SILVA, M.R. ; RODRIGUES, C.A. ; MELO, M.L.N.M	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2017	1516-1439	http://dx.doi.org/10.1590/1980-5373-mr-2017-0717	Structural and Magnetic Properties of Duplex Stainless steel (UNS S31803) Powders Obtained by high Energy Milling of Chips with Additions of NbC	Materials Research-Ibero-american Journal of Materials	MENDONÇA, CLAUDINEY DE SALES PEREIRA ; OLIVEIRA, ADHIMAR FLÁVIO ; OLIVEIRA, LEONARDO ALBERGARIA ; SILVA, MANOEL RIBEIRO DA ; MELO, MIRIAN DE LOURDES NORONHA MOTTA ; SILVA, GILBERT	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2016	0022-2461	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1007/s10853-015-9451-9&md5=b81cf702d47b9351439b16c3efd286ef	Main scattering mechanisms in InAs/GaAs multi-quantum-well: a new approach by the global optimization method	Journal of Materials Science	Oliveira, A. F.; RUBINGER, R. M. ; Monteiro, H. ; RUBINGER, C. P. L. ; RIBEIRO, G. M. ; DE OLIVEIRA, A. G.	A1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2016	1678-4553	http://dx.doi.org/10.1590/0366-69132016623611927	Investigação das propriedades magnéticas e microestrutura da ferrita de chumbo e cobre	Ceramica	RIBEIRO, V. A. S. ; RODRIGUES, G. ; PEREIRA, A. C. ; Oliveira, A. F. ; MENDONÇA, C. S. P. ; OLIVEIRA, V. D. DE ; CORREA, R. C. ; SILVA, M. R. DA	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2016	1517-7076	http://dx.doi.org/10.1590/S1517-707620160002.0032	Avaliação da microestrutura e das propriedades magnéticas de ferrita de cobre dopada com chumbo sinterizada com fase líquida	Matéria (UFRJ)	RIBEIRO, VANDER ALKMIN DOS SANTOS ; PEREIRA, AMANDA CARVALHO ; OLIVEIRA, ADHIMAR FLÁVIO ; MENDONÇA, CLAUDINEY DE SALES PEREIRA ; SILVA, MANOEL RIBEIRO DA	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2016	1980-5373	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/1980-5373-mr-2015-0511&md5=8b93510fe06df5f67f22ec9c675e67c4	Magnetic and Electrical Properties of MnxCu1-xFe2O4 Ferrite	Materials Research (São Carlos. On-line)	OLIVEIRA, VALESCA DONIZETI DE ; RUBINGER, RERO MARQUES ; SILVA, MANOEL RIBEIRO DA ; OLIVEIRA, ADHIMAR FLÁVIO ; RODRIGUES, GEOVANI ; RIBEIRO, VANDER ALKMIN DOS SANTOS	A2	
artigoEmPeriodico	Adhimar Flavio Oliveira	2016	1678-4553	http://dx.doi.org/10.1590/0366-69132016623642006	Magnetic properties and potential barrier between crystallites model of MgGa2-xFexO4 ceramics	Ceramica	RIBEIRO, V. A. DOS S. ; RUBINGER, R. M. ; Oliveira, A. F. ; MENDONÇA, C. S. P. ; SILVA, M. R. DA	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2015	0091-3286	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1117/1.oe.54.1.014104&md5=31d008ac33f947108ae11fa7a7eacee9	Comparative and quantitative analysis of white light-emitting diodes and other lamps used for home illumination	Optical Engineering (Bellingham. Print)	RUBINGER, RERO MARQUES ; DA SILVA, EDNA RAIMUNDA ; PINTO, DANIEL ZARONI ; RUBINGER, CARLA PATRÍCIA LACERDA ; OLIVEIRA, ADHIMAR FLÁVIO ; DA COSTA BORTONI, EDSON	A3	
artigoEmPeriodico	Adhimar Flavio Oliveira	2015	1384-1076	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1016/j.newast.2015.01.003&md5=29963cc85d68b08b395c896f1f8ce1e1	The OPD photometric survey of open clusters I. Techniques, program details and first results of robust determination of the fundamental parameters	New Astronomy (Gedrukt)	CAETANO, T.C. ; DIAS, W.S. ; LÉPINE, J.R.D. ; MONTEIRO, H.S. ; MOITINHO, A. ; HICKEL, G.R. ; OLIVEIRA, A.F.	B1	
artigoEmPeriodico	Adhimar Flavio Oliveira	2015	2359-6082		O DESENVOLVIMENTO E ANÁLISE DE UM JOGO VIRTUAL PARA O ENSINO DE ASTRONOMIA: CONTRIBUIÇÕES DA TEORIA DA APRENDIZAGEM SIGNIFICATIVA	EmRede	Fernando Custodio Cerqueira Campos ; Adhimar Flávio Oliveira ; João Ricardo Neves da Silva	Qualis nao identificado	EMREDE
artigoEmPeriodico	Adhimar Flavio Oliveira	2014	1475-7516	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1088/1475-7516/2014/10/041&md5=921fbf2c4744caf0d386bf9aa5b3b510	North-South non-Gaussian asymmetry in Planck CMB maps	Journal of Cosmology and Astroparticle Physics	Bernui, A. ; OLIVEIRA, A.F. ; PEREIRA, T.S.	A1	
