artigoEmPeriodico	 	2024		http://dx.doi.org/10.1186/s11671-024-03967-0	Electronic and structural properties of Möbius boron-nitride and carbon nanobelts	Discover Nano	C. Aguiar ; N. Dattani ; Camps, I.	Qualis nao identificado	DISCOVER NANO
artigoEmPeriodico	 	2024		http://dx.doi.org/10.1016/j.foodchem.2023.137081	Cellular assays combined with metabolomics highlight the dual face of phenolics: From high permeability to morphological cell damage	FOOD CHEMISTRY	G. Rocchetti ; L. Lucini ; GONCALVES, J. E. ; Camps, I. ; LIMA, A. S. ; GRANATO, D. ; PINHEIRO, L. C. ; L. Azevedo	A1	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1103/PhysRevD.107.112012	Impact of cross-section uncertainties on supernova neutrino spectral parameter fitting in the Deep Underground Neutrino Experiment	PHYSICAL REVIEW D	ABED ABUD, A. ; ABI, B. ; ACCIARRI, R. ; ACERO, M.'A. ; ADAMES, M.'R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALLISON, K. ; ALONSO MONSALVE, S. ; ALRASHED, M. ; BEZERRA, Anibal Thiago	A1	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1088/1748-0221/18/04/P04034	Highly-parallelized simulation of a pixelated LArTPC on a GPU	Journal of Instrumentation	ABED ABUD, A. ; ABI, B. ; ACCIARRI, R. ; ACERO, M.A. ; ADAMES, M.R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALLISON, K. ; ALONSO MONSALVE, S. ; ALRASHED, M. ; BEZERRA, Anibal Thiago	A3	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1140/epjc/s10052-023-11733-2	Reconstruction of interactions in the ProtoDUNE-SP detector with Pandora. EUROPEAN PHYSICAL JOURNAL C	PARTICLES AND FIELDS	ABUD, A. ABED ; ABI, B. ; ACCIARRI, R. ; ACERO, M. A. ; ADAMES, M. R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALI-MOHAMMADZADEH, B. ; ALLISON, K. ; MONSALVE, S. ALONSO ; BEZERRA, Anibal Thiago	Qualis nao identificado	PARTICLES AND FIELDS
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1103/physrevd.107.092012	Identification and reconstruction of low-energy electrons in the ProtoDUNE-SP detector	PHYSICAL REVIEW D	ABUD, A. ABED ; ABI, B. ; ACCIARRI, R. ; ACERO, M.'A. ; ADAMES, M.'R. ; ADAMOV, G. ; ADAMOWSKI, M. ; ADAMS, D. ; ADINOLFI, M. ; ADRIANO, C. ; ADUSZKIEWICZ, A. ; AGUILAR, J. ; AHMAD, Z. ; AHMED, J. ; AIMARD, B. ; AKBAR, F. ; ALLISON, K. ; MONSALVE, S. ALONSO ; ALRASHED, M. ; BEZERRA, Anibal Thiago	A1	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1186/s12866-023-02756-6	Genomic landscape of the emerging XDR Salmonella Typhi for mining druggable targets clpP, hisH, folP and gpmI and screening of novel TCM inhibitors, molecular docking and simulation analyses	BMC MICROBIOLOGY	AFZAL, MUNEEBA ; HASSAN, SYED SHAH ; SOHAIL, SAMAN ; Camps, Ihosvany ; KHAN, YASMIN ; BASHARAT, ZARRIN ; KARIM, ASAD ; AURONGZEB, MUHAMMAD ; IRFAN, MUHAMMAD ; SALMAN, MUHAMMAD ; MOREL, CARLOS M.	Qualis nao identificado	BMC MICROBIOLOGY
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1016/j.apsusc.2022.155358	Functionalized boron-nitride nanotubes: First-principles calculations	APPLIED SURFACE SCIENCE	AGUIAR, C. ; CAMPS, M. ; DATTANI, N. ; Camps, I.	A1	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1016/j.physb.2023.415178	Möbius boron-nitride nanobelts interacting with heavy metal nanoclusters	PHYSICA B-CONDENSED MATTER	AGUIAR, C. ; DATTANI, N. ; Camps, I.	A4	PHYSICA. B, CONDENSED MATTER
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1007/s00894-023-05669-3	Möbius carbon nanobelts interacting with heavy metal nanoclusters	JOURNAL OF MOLECULAR MODELING	AGUIAR, C. ; DATTANI, N. ; Camps, I.	A4	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.5281/zenodo.7756456	Sherlock Holmes na velocidade da luz	Revista Brasileira de Física	APRIGIO, T. L. F. ; INACIO, C. F. ; SOLTAU, S. B.	B2	REVISTA BRASILEIRA DE GEOFÍSICA
artigoEmPeriodico	 	2023		http://dx.doi.org/10.13102/sscf.v19i.9392	Deslocamento perpendicular à direção do movimento na teoria da relatividade especial	SITIENTIBUS : UNIVERSIDADE DE FEIRA DE SANTANA (SÉRIE CIÊNCIAS FÍSICAS)	ASSUNÇÃO, DAVI ANTONIO ; SOLTAU, SAMUEL BUENO	B4	
