ISSN	Título	Estrato	Classificação
1983-6422	A FÍSICA NA ESCOLA (IMPRESSO)	A3	Atualizado
1983-6430	A FÍSICA NA ESCOLA (ONLINE)	A3	Atualizado
1530-9932	AAPS PHARMSCITECH	A3	Atualizado
2241-1402	ACADEMIA (ONLINE)	B4	Atualizado
0001-4842	ACCOUNTS OF CHEMICAL RESEARCH	A1	Atualizado
0889-325X	ACI MATERIALS JOURNAL	A4	Atualizado
2574-0970	ACS  APPLIED NANO MATERIALS	A4	Atualizado
2576-6422	ACS APPLIED BIO MATERIALS	B2	Atualizado
2637-6113	ACS APPLIED ELECTRONIC MATERIALS	C	Atualizado
2574-0962	ACS APPLIED ENERGY MATERIALS	A3	Atualizado
1944-8252	ACS APPLIED MATERIALS & INTERFACES (ONLINE)	A1	Atualizado
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1	Atualizado
2637-6105	ACS APPLIED POLYMER MATERIALS	B2	Atualizado
2373-9878	ACS BIOMATERIALS SCIENCE & ENGINNERING	A2	Atualizado
2155-5435	ACS CATALYSIS	A1	Atualizado
2374-7951	ACS CENTRAL SCIENCE (ONLINE)	A1	Atualizado
1554-8929	ACS CHEMICAL BIOLOGY	A1	Atualizado
2156-8952	ACS COMBINATORIAL SCIENCE	A2	Atualizado
2373-8227	ACS INFECTIOUS DISEASES	A1	Atualizado
1948-5875	ACS MED CHEM LETT	A2	Atualizado
1936-0851	ACS NANO	A1	Atualizado
2470-1343	ACS OMEGA	A4	Atualizado
2330-4022	ACS PHOTONICS	A1	Atualizado
2379-3694	ACS SENSORS	A1	Atualizado
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1	Atualizado
1809-4392	ACTA AMAZONICA	A3	Atualizado
0094-5765	ACTA ASTRONAUTICA	A1	Atualizado
0102-3306	ACTA BOTANICA BRASÍLICA (IMPRESSO)	A4	Atualizado
1318-0207	ACTA CHIMICA SLOVENICA (PRINT ED.)	B1	Atualizado
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	A4	Atualizado
2053-2733	ACTA CRYSTALLOGRAPHICA A - FOUNDATION AND ADVANCES	A4	Atualizado
2052-5206	ACTA CRYSTALLOGRAPHICA SECTION B: STRUCTURAL SCIENCE, CRYSTAL ENGINEERING AND MATERALS	A2	Atualizado
2053-2296	ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY	B1	Atualizado
2056-9890	ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS	B2	Atualizado
2053-230X	ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS	B1	Atualizado
1980-5772	ACTA GEOGRÁFICA (UFRR)	A2	Atualizado
1895-6572	ACTA GEOPHYSICA	B1	Atualizado
1359-6454	ACTA MATERIALIA (OXFORD)	A1	Atualizado
0587-4246	ACTA PHYSICA POLONICA. A	B2	Atualizado
0587-4254	ACTA PHYSICA POLONICA. B	B2	Atualizado
1899-2358	ACTA PHYSICA POLONICA. B, PROCEEDINGS SUPPLEMENT	B3	Atualizado
0323-0465	ACTA PHYSICA SLOVACA (TLACENÉ VYDANIE)	B1	Atualizado
1517-4492	ACTA SCIENTIAE (ULBRA)	A2	Atualizado
1679-9275	ACTA SCIENTIARUM. AGRONOMY (IMPRESSO)	A4	Atualizado
1807-8621	ACTA SCIENTIARUM. AGRONOMY (ONLINE)	A4	Atualizado
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	B2	Atualizado
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	B2	Atualizado
0001-706X	ACTA TROPICA	A2	Atualizado
0239-6661	ACTA UNIVERSITATIS WRATISLAVIENSIS. NIEMCOZNAWSTWO	C	Atualizado
1981-5484	ACTA VETERINARIA BRASILICA	B1	Atualizado
2525-8923	ACTIO: DOCÊNCIA EM CIÊNCIAS	A3	Atualizado
1570-8705	AD HOC NETWORKS	A1	Atualizado
2199-160X	ADVANCED ELECTRONIC MATERIALS	A1	Atualizado
2524-7921	ADVANCED FIBER MATERIALS	B4	Atualizado
1616-301X	ADVANCED FUNCTIONAL MATERIALS (PRINT)	A1	Atualizado
2192-2659	ADVANCED HEALTHCARE MATERIALS	A1	Atualizado
2196-7350	ADVANCED MATERIALS INTERFACES	A1	Atualizado
2002-4428	ADVANCED MATERIALS PROCEEDINGS	B2	Atualizado
2365-709X	ADVANCED MATERIALS TECHNOLOGIES	A1	Atualizado
0935-9648	ADVANCED MATERIALS (WEINHEIM PRINT)	A1	Atualizado
2195-1071	ADVANCED OPTICAL MATERIALS	A1	Atualizado
0921-8831	ADVANCED POWDER TECHNOLOGY (PRINT)	A1	Atualizado
2198-3844	ADVANCED SCIENCE	A1	Atualizado
2164-6627	ADVANCED SCIENCE, ENGINEERING AND MEDICINE	B2	Atualizado
1615-4150	ADVANCED SYNTHESIS & CATALYSIS (PRINT)	A1	Atualizado
2513-0390	ADVANCED THEORY AND SIMULATIONS	A3	Atualizado
2366-3987	ADVANCED THERAPEUTICS	C	Atualizado
1743-6753	ADVANCES IN APPLIED CERAMICS (PRINT)	A3	Atualizado
0188-7009	ADVANCES IN APPLIED CLIFFORD ALGEBRAS	A4	Atualizado
1687-7969	ADVANCES IN ASTRONOMY	A4	Atualizado
1687-8108	ADVANCES IN CONDENSED MATTER PHYSICS (PRINT)	B2	Atualizado
