artigoEmPeriodico	 	2023	1806-9479	http://dx.doi.org/10.1590/1806-9479.2022.260860	Avaliação da sustentabilidade socioeconômica e ambiental em propriedades rurais de Minas Gerais a partir do método ISA	Revista de economia e sociologia rural	GABRIELLI, J. R. M. ; SANTOYO, A. H. ; MARTINS, M. R. ; REZENDE, Marcelo Lacerda	Qualis nao identificado	REVISTA DE ECONOMIA E SOCIOLOGIA RURAL
artigoEmPeriodico	 	2022	2318-2962		Sistema de compartilhamento de dados geoespaciais: SisGEO	CADERNO DE GEOGRAFIA	ALVARENGA, S. H. ; VIEIRA, G. S. ; LATUF, M. O. ; PAGLIARES, R. M.	Qualis nao identificado	CADERNO DE GEOGRAFIA
artigoEmPeriodico	 	2022	2525-3409	http://dx.doi.org/10.33448/rsd-v11i6.29486	A influência dos rótulos nutricionais no cuidado em saúde: uma revisão integrativa	RESEARCH, SOCIETY AND DEVELOPMENT	BUENO, LAYSA CAMILA ; SILVA, THAIANY GOULART DE SOUZA E ; LIMA, DANIELA BRAGA ; ALVES, CRISTINA GARCIA LOPES ; REZENDE, MARCELO LACERDA ; AZEVEDO, LUCIANA	C	
artigoEmPeriodico	 	2022	2317-3114	http://dx.doi.org/10.18378/REBAGRO.V12I2.9415	Viabilidade econômica e análise de risco: um estudo comparativo das regiões cafeeiras de Minas Gerais	REVISTA BRASILEIRA DE AGROTECNOLOGIA	CRISTINE DUTRA, TATIANE ; PRIEST MATTEDI, ADRIANA ; CIRO DE OLIVEIRA, DAIVE ; REZENDE, MARCELO	Qualis nao identificado	REVISTA BRASILEIRA DE AGROTECNOLOGIA
artigoEmPeriodico	 	2022	2169-3536	http://dx.doi.org/10.1109/access.2022.3192436	Synthesis of a controller algorithm for safety-critical systems	IEEE Access	DE SOUZA, FELLIPE GUILHERME REY; HIRATA, CELSO MASSAKI ; NADJM-TEHRANI, SIMIN	A3	
artigoEmPeriodico	 	2022	2317-0840		Agricultural commodity price prediction via machine learning algorithms	SIGMAE	LUDOVICO, S. N. ; SALGADO, R. M. ; BEIJO, L. A. ; MIGUEL, E. C. ; REZENDE, Marcelo Lacerda	Qualis nao identificado	SIGMAE
artigoEmPeriodico	 	2022	2583-1194	http://dx.doi.org/10.53365/nrfhh/147375	Molecular docking study involving bioactive natural compounds against SARS-CoV-2 proteins	Natural Resources for Human Health	MARCELINO, R. C. ; PERERA, L. A. ; BORBA, J. R. B. M. ; Silveira NJF	Qualis nao identificado	NATURAL RESOURCES FOR HUMAN HEALTH
artigoEmPeriodico	 	2022	1364-727X	http://dx.doi.org/10.1111/1471-0307.12877	Machine learning methods for the prediction of milk fatty acid content	INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY	PETRINI, JULIANA ; SALGADO, Ricardo Menezes ; RODRIGUEZ, MARY ANA PETERSEN ; MACHADO, PAULO FERNANDO ; MOURÃO, GERSON BARRETO	B2	INTERNATIONAL JOURNAL OF NANOTECHNOLOGY
artigoEmPeriodico	 	2022	2179-6858	http://dx.doi.org/10.6008/CBPC2179-6858.2022.002.0028	Caracterização dos processos de licenciamento ambiental em Minas Gerais	Revista Ibero-americana de Ciências Ambientais	RABELO, FRANCIELY APARECIDA LOPES ; SALGADO, Eduardo Gomes	C	
artigoEmPeriodico	 	2022	2179-6858	http://dx.doi.org/10.6008/cbpc2179-6858.2021.005.0053	A predominância de infrações ambientais contra a flora no sul de Minas Gerais de acordo com os dados da Polícia Militar	Revista Ibero-americana de Ciências Ambientais	RODRIGUES, L. R. ; SALGADO, Eduardo Gomes	C	
artigoEmPeriodico	 	2021	2595-833X	http://dx.doi.org/10.5902/1414650939740	Indicadores para avaliação do Programa Nacional de Assistência Estudantil (PNAES)	ECONOMIA E DESENVOLVIMENTO (SANTA MARIA)	BARBOSA, A. T. ; FERREIRA, E. B. ; REZENDE, Marcelo Lacerda	Qualis nao identificado	ECONOMIA E DESENVOLVIMENTO (SANTA MARIA)
